dataset,nace,indic,size_emp,geo,year,value,unit
isoc_eb_ain2,F,E_AI_TANY,GE10,PL,2023,1.23,PC_ENT
isoc_eb_ain2,F,E_AI_TANY,GE10,PL,2024,2.01,PC_ENT
isoc_eb_ain2,F,E_AI_TANY,GE10,PL,2025,2.35,PC_ENT
isoc_eb_ain2,F,E_AI_TANY,GE10,PT,2021,1.06,PC_ENT
isoc_eb_ain2,F,E_AI_TANY,GE10,PT,2023,2.92,PC_ENT
isoc_eb_ain2,F,E_AI_TANY,GE10,PT,2024,2.74,PC_ENT
isoc_eb_ain2,F,E_AI_TANY,GE10,PT,2025,4.74,PC_ENT
isoc_eb_ain2,F,E_AI_TANY,GE10,RO,2021,0.05,PC_ENT
isoc_eb_ain2,F,E_AI_TANY,GE10,RO,2023,0.13,PC_ENT
isoc_eb_ain2,F,E_AI_TANY,GE10,RO,2024,0.18,PC_ENT
isoc_eb_ain2,F,E_AI_TANY,GE10,RO,2025,2.65,PC_ENT
isoc_eb_ain2,F,E_AI_TANY,GE10,SE,2021,2.32,PC_ENT
isoc_eb_ain2,F,E_AI_TANY,GE10,SE,2023,2.78,PC_ENT
isoc_eb_ain2,F,E_AI_TANY,GE10,SE,2024,13.15,PC_ENT
isoc_eb_ain2,F,E_AI_TANY,GE10,SE,2025,14.9,PC_ENT
