importer,partner,year,value,iso3,ai_M_2024,ai_F_2024,ai_M_2021,ai_F_2021,dM,dF,gap24,ai_M,ai_F,logv,ihs,post,post20,post_x_dM,post_x_dF,post_x_M24,post_x_F24,post_x_gap,fake_x_dM
POL,PHL,2019,13.187333,POL,14.45,2.01,6.48,0.35,7.969999999999999,1.6599999999999997,12.44,,,2.5792567476489934,3.2738383984792083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POL,VNM,2019,2.406576,POL,14.45,2.01,6.48,0.35,7.969999999999999,1.6599999999999997,12.44,,,0.878204990396781,1.6119641949284862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POL,IND,2021,31.906771,POL,14.45,2.01,6.48,0.35,7.969999999999999,1.6599999999999997,12.44,6.48,0.35,3.4628182443207494,4.156210903901143,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.969999999999999
POL,PHL,2021,13.90512,POL,14.45,2.01,6.48,0.35,7.969999999999999,1.6599999999999997,12.44,6.48,0.35,2.6322571176379026,3.3266947738844004,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.969999999999999
POL,VNM,2021,5.935193,POL,14.45,2.01,6.48,0.35,7.969999999999999,1.6599999999999997,12.44,6.48,0.35,1.780899546488251,2.481069273886967,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.969999999999999
POL,IND,2023,46.622235,POL,14.45,2.01,6.48,0.35,7.969999999999999,1.6599999999999997,12.44,9.05,1.23,3.8420775732564287,4.535339748805811,1.0,1.0,7.969999999999999,1.6599999999999997,14.45,2.01,12.44,7.969999999999999
POL,PHL,2023,16.30876,POL,14.45,2.01,6.48,0.35,7.969999999999999,1.6599999999999997,12.44,9.05,1.23,2.7917023867654107,3.4857881805253985,1.0,1.0,7.969999999999999,1.6599999999999997,14.45,2.01,12.44,7.969999999999999
POL,VNM,2023,4.744549,POL,14.45,2.01,6.48,0.35,7.969999999999999,1.6599999999999997,12.44,9.05,1.23,1.556996380126264,2.2610687965536718,1.0,1.0,7.969999999999999,1.6599999999999997,14.45,2.01,12.44,7.969999999999999
POL,IND,2022,43.513895,POL,14.45,2.01,6.48,0.35,7.969999999999999,1.6599999999999997,12.44,,,3.773080312376599,4.466359500280933,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.969999999999999
POL,PHL,2022,14.87751,POL,14.45,2.01,6.48,0.35,7.969999999999999,1.6599999999999997,12.44,,,2.6998506766925843,3.39412543094672,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.969999999999999
