REF_AREA,COUNTERPART_AREA,TRADE_FLOW,SERVICE,TIME_PERIOD,OBS_VALUE,ADJUSTMENT,UNIT_MEASURE,OBS_STATUS,source_key
IND,W,M,SJ2,2016,4598.380956,B,USD_EXC,I,IND.W.M.S.SJ2.A.USD_EXC.B
IND,W,M,SJ2,2017,4880.281708,B,USD_EXC,I,IND.W.M.S.SJ2.A.USD_EXC.B
IND,W,M,SJ2,2018,5195.446491,B,USD_EXC,I,IND.W.M.S.SJ2.A.USD_EXC.B
IND,W,M,SJ2,2019,6237.65574,B,USD_EXC,I,IND.W.M.S.SJ2.A.USD_EXC.B
IND,W,M,SJ2,2020,7446.875021,B,USD_EXC,I,IND.W.M.S.SJ2.A.USD_EXC.B
IND,W,M,SJ2,2021,6963.41283,B,USD_EXC,I,IND.W.M.S.SJ2.A.USD_EXC.B
IND,W,M,SJ2,2022,7623.669577,B,USD_EXC,I,IND.W.M.S.SJ2.A.USD_EXC.B
IND,W,M,SJ2,2023,9457.16129,B,USD_EXC,I,IND.W.M.S.SJ2.A.USD_EXC.B
IND,W,M,SJ2,2024,11723.344022,B,USD_EXC,I,IND.W.M.S.SJ2.A.USD_EXC.B
IND,W,M,SJ3,2015,9601.507124,B,USD_EXC,I,IND.W.M.S.SJ3.A.USD_EXC.B
IND,W,M,SJ3,2016,10521.183479,B,USD_EXC,I,IND.W.M.S.SJ3.A.USD_EXC.B
IND,W,M,SJ3,2017,11293.892556,B,USD_EXC,I,IND.W.M.S.SJ3.A.USD_EXC.B
IND,W,M,SJ3,2018,12287.998279,B,USD_EXC,I,IND.W.M.S.SJ3.A.USD_EXC.B
IND,W,M,SJ3,2019,13516.61077,B,USD_EXC,I,IND.W.M.S.SJ3.A.USD_EXC.B
IND,W,M,SJ3,2020,12928.33802,B,USD_EXC,I,IND.W.M.S.SJ3.A.USD_EXC.B
IND,W,M,SJ3,2021,14447.735513,B,USD_EXC,I,IND.W.M.S.SJ3.A.USD_EXC.B
IND,W,M,SJ3,2022,16419.073273,B,USD_EXC,I,IND.W.M.S.SJ3.A.USD_EXC.B
IND,W,M,SJ3,2023,18046.861154,B,USD_EXC,I,IND.W.M.S.SJ3.A.USD_EXC.B
IND,W,M,SJ3,2024,19527.011958,B,USD_EXC,I,IND.W.M.S.SJ3.A.USD_EXC.B
GBR,IND,M,SE,2015,0.0,N,USD_EXC,A,GBR.IND.M.S.SE.A.USD_EXC.N
GBR,IND,M,SE,2016,5.4,N,USD_EXC,A,GBR.IND.M.S.SE.A.USD_EXC.N
GBR,IND,M,SE,2020,16.7,N,USD_EXC,A,GBR.IND.M.S.SE.A.USD_EXC.N
GBR,IND,M,SE,2021,31.6,N,USD_EXC,A,GBR.IND.M.S.SE.A.USD_EXC.N
GBR,IND,M,SE,2022,18.5,N,USD_EXC,A,GBR.IND.M.S.SE.A.USD_EXC.N
GBR,IND,M,SI,2015,785.510836,N,USD_EXC,A,GBR.IND.M.S.SI.A.USD_EXC.N
GBR,IND,M,SI,2016,603.5,N,USD_EXC,A,GBR.IND.M.S.SI.A.USD_EXC.N
GBR,IND,M,SI,2017,652.5,N,USD_EXC,A,GBR.IND.M.S.SI.A.USD_EXC.N
GBR,IND,M,SI,2018,843.2,N,USD_EXC,A,GBR.IND.M.S.SI.A.USD_EXC.N
GBR,IND,M,SI,2019,1025.0,N,USD_EXC,A,GBR.IND.M.S.SI.A.USD_EXC.N
GBR,IND,M,SI,2020,1010.3,N,USD_EXC,A,GBR.IND.M.S.SI.A.USD_EXC.N
GBR,IND,M,SI,2021,1182.8,N,USD_EXC,A,GBR.IND.M.S.SI.A.USD_EXC.N
GBR,IND,M,SI,2022,1371.9,N,USD_EXC,A,GBR.IND.M.S.SI.A.USD_EXC.N
GBR,IND,M,SI,2023,1935.3,N,USD_EXC,I,GBR.IND.M.S.SI.A.USD_EXC.N
GBR,IND,M,SI,2024,2544.7,N,USD_EXC,A,GBR.IND.M.S.SI.A.USD_EXC.N
GBR,IND,M,SJ1,2016,170.1,N,USD_EXC,A,GBR.IND.M.S.SJ1.A.USD_EXC.N
GBR,IND,M,SJ1,2017,151.9,N,USD_EXC,A,GBR.IND.M.S.SJ1.A.USD_EXC.N
GBR,IND,M,SJ1,2018,136.1,N,USD_EXC,A,GBR.IND.M.S.SJ1.A.USD_EXC.N
GBR,IND,M,SJ1,2019,219.5,N,USD_EXC,A,GBR.IND.M.S.SJ1.A.USD_EXC.N
GBR,IND,M,SJ1,2020,42.3,N,USD_EXC,A,GBR.IND.M.S.SJ1.A.USD_EXC.N
GBR,IND,M,SJ1,2021,137.5,N,USD_EXC,A,GBR.IND.M.S.SJ1.A.USD_EXC.N
GBR,IND,M,SJ1,2022,326.6,N,USD_EXC,A,GBR.IND.M.S.SJ1.A.USD_EXC.N
GBR,IND,M,SJ1,2023,174.0,N,USD_EXC,A,GBR.IND.M.S.SJ1.A.USD_EXC.N
GBR,IND,M,SJ1,2024,187.9,N,USD_EXC,A,GBR.IND.M.S.SJ1.A.USD_EXC.N
GBR,IND,M,SJ2,2016,883.0,N,USD_EXC,A,GBR.IND.M.S.SJ2.A.USD_EXC.N
GBR,IND,M,SJ2,2017,915.1,N,USD_EXC,A,GBR.IND.M.S.SJ2.A.USD_EXC.N
GBR,IND,M,SJ2,2018,1609.0,N,USD_EXC,A,GBR.IND.M.S.SJ2.A.USD_EXC.N
GBR,IND,M,SJ2,2019,2214.6,N,USD_EXC,A,GBR.IND.M.S.SJ2.A.USD_EXC.N
GBR,IND,M,SJ2,2020,2297.4,N,USD_EXC,A,GBR.IND.M.S.SJ2.A.USD_EXC.N
GBR,IND,M,SJ2,2021,2347.8,N,USD_EXC,A,GBR.IND.M.S.SJ2.A.USD_EXC.N
GBR,IND,M,SJ2,2022,2976.7,N,USD_EXC,A,GBR.IND.M.S.SJ2.A.USD_EXC.N
GBR,IND,M,SJ2,2023,4509.4,N,USD_EXC,A,GBR.IND.M.S.SJ2.A.USD_EXC.N
GBR,IND,M,SJ2,2024,4777.5,N,USD_EXC,A,GBR.IND.M.S.SJ2.A.USD_EXC.N
GBR,IND,M,SJ3,2016,1190.9,N,USD_EXC,A,GBR.IND.M.S.SJ3.A.USD_EXC.N
